,year participation,gallery city,gallery name,,,,,,link
Art Dubai Modern,2019,Ramallah,Gallery One,Nabil Anani,,,,,<https://www.artdubai.ae/gallery/gallery-one-modern-2019/>
Art Dubai Modern,2019,Lisbon,Perve Galería,Ernesto Shikhani,,,,,<https://www.artdubai.ae/gallery/perve-galeria-2019/>
Art Dubai Modern,2019,New Delhi,Sanchit Art,Satish Gujral,,,,,<https://www.artdubai.ae/gallery/sanchit-art-2019/>
Art Dubai Modern,2019,London,TAFETA,Susanne Wenger,,,,,<https://www.artdubai.ae/gallery/tafeta-modern-2019-2/>
Art Dubai Modern,2019,Cairo,Ubuntu Art Gallery,Ragheb Ayad,,,,,<https://www.artdubai.ae/gallery/ubuntu-art-gallery-modern-2019/>
Art Dubai Modern,2022,Beirut,Agial Art Gallery,Bibi Zogbe,Lebanon,1890-1973,,,<https://www.artdubai.ae/gallery/agial-art-gallery-2022-3/>
Art Dubai Modern,2022,New York,Aicon Art,Krishna Shamrao Kulkarni,India,1918 - 1994,,,<https://www.artdubai.ae/gallery/galleryone-2022/>
Art Dubai Modern,2022,Madrid,Sabrina Amrani,Chant Avedissian,Egypt,1951 - 2019,,,<https://www.artdubai.ae/gallery/sabrina-amrani-2022/>
Art Dubai Modern,2022,Marrakech,Comptoir des Mines Galerie,Mohammed Kacimi,Morocco,1942 - 2003,,,<https://www.artdubai.ae/gallery/comptoir-des-mines-2022-2/>
Art Dubai Modern,2022,Mumbai / New Dehli / New York,DAG,Rabin Mondal,India,1929 - 2019,,,<https://www.artdubai.ae/gallery/dagworld-2022/>
Art Dubai Modern,2022,Kolkata,Emami Art,Jogen Chowdhury,India,1939,,,<https://www.artdubai.ae/gallery/emami-2022/>
Art Dubai Modern,2022,Texas,Eye For Art Gallery,Maqbool Fida Husain,India,1915 - 2011,,,<https://www.artdubai.ae/gallery/eyeforart-2022/>
Art Dubai Modern,2022,Dubai / New York,Leila Heller Gallery,Farideh Lashai,Iran,1944 - 2013,,,<https://www.artdubai.ae/gallery/leila-heller-gallery-2022-2/>
Art Dubai Modern,2022,Ramallah,Gallery One,Walid Abu Shakra,Palestine,1946-2019,,,<https://www.artdubai.ae/gallery/gallery-one-2022-2-2/>
Art Dubai Modern,2022,Beirut / Hamburg,Sfeir-Semler Gallery,Aref El Rayess,Lebanon,1928 - 2005,,,<https://www.artdubai.ae/gallery/sfeir-semler-gallery-2022-2/>
Art Dubai Modern,2022,Cairo,Zamalek Art Gallery,Gamal El Sagini,Egypt,1917 - 1977,,,<https://www.artdubai.ae/gallery/zamalek-art-gallery-2022/>
Art Dubai Modern,2023,Beirut,Agial Art Gallery,Nazir Ismail,Syria,1948 - 2016,,,<https://www.artdubai.ae/gallery/agial-art-gallery-modern-2023/>
Art Dubai Modern,2023,New York,Aicon Gallery,Rasheed Araeen,Karachi,1935,,,<https://www.artdubai.ae/gallery/aicon-gallery-modern-2023/>
Art Dubai Modern,2023,Mumbai / New Delhi / New York,DAG,Natvar Bhavsar,India,1934,,,<https://www.artdubai.ae/gallery/dag-modern-2023/>
Art Dubai Modern,2023,Beirut / New York / Paris,Mark Hachem,Hussein Madi,Lebanon,1938,,,<https://www.artdubai.ae/gallery/mark-hachem-modern-2023/>
Art Dubai Modern,2023,Beirut / New York / Paris,Mark Hachem,Helen Khal,USA,1923,,,<https://www.artdubai.ae/gallery/mark-hachem-modern-2023-2/>
Art Dubai Modern,2023,Dubai,Lawrie Shabibi,Mona Saudi,Jordan,1945 - 2022,,,<https://www.artdubai.ae/gallery/lawrie-shabibi-modern-2023/>
Art Dubai Modern,2023,London,October Gallery,James Barnor,Ghana,1929,,,<https://www.artdubai.ae/gallery/october-gallery-modern-2023/>
Art Dubai Modern,2023,Ramallah,Gallery One,Samir Salameh,Palestine,1944-2018,,,<https://www.artdubai.ae/gallery/gallery-one-2023-modern/>
Art Dubai Modern,2023,Beirut / Hamburg,Sfeir-Semler Gallery,MARWAN,Syria,1934,,,<https://www.artdubai.ae/gallery/sfeir-semler-gallery-modern-2023/>
Art Dubai Modern,2023,Dubai,The Third Line,Monir Shahroudy Farmanfarmaian,Iran,1922,,,<https://www.artdubai.ae/gallery/the-third-line-modern-2023/>
Art Dubai Modern,2024,Beirut,Agial Art Gallery,Wahib Bteddini,Lebanon,1929,,,<https://www.artdubai.ae/gallery/agial-art-gallery-2024-2/>
Art Dubai Modern,2024,Kampala,Afriart Gallery,Samuel Kakaire,Uganda,1961,,,<https://www.artdubai.ae/gallery/afriart-gallery-2024/>
Art Dubai Modern,2024,Colombo,Saskia Fernando Gallery,Chandraguptha Thenuwara,Sri Lanka,1960,,,<https://www.artdubai.ae/gallery/saskia-fernando-gallery-2/>
Art Dubai Modern,2024,Beirut / New York / Paris,Mark Hachem,Fatima El Hajj,Lebanon,1953,,,<https://www.artdubai.ae/gallery/mark-hachem-2024/>
Art Dubai Modern,2024,Dubai / New York,Leila Heller Gallery,Marcos Grigorian,Armenian-Iran,1925,,,<https://www.artdubai.ae/gallery/leila-heller-24-2/>
Art Dubai Modern,2024,Baku / London,Gazelli Art House,Ashraf Murad,Azerbaijan,1929,,,<https://www.artdubai.ae/gallery/gazelli-art-house-modern-2024/>
Art Dubai Modern,2024,Jeddah,Hafez Gallery,Abdulsattar Al Mussa,Saudi Arabia,1960,,,<https://www.artdubai.ae/gallery/hafez-gallery-modern-2024/>
Art Dubai Modern,2024,Dubai,Meem Gallery,Dia Al-Azzawi,Iraq,1939,,,<https://www.artdubai.ae/gallery/meem-gallery-modern-2024/>
