Tezos USD (XTZ-USD) CCC - CoinMarketCap. Currency in USD,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 03, 2019",1.2385,1.3174,1.2136,1.292,1.292,"41,462,224"
"Dec 02, 2019",1.2544,1.2644,1.1999,1.2385,1.2385,"27,574,097"
"Dec 01, 2019",1.3328,1.3363,1.2516,1.2543,1.2543,"24,127,567"
"Nov 30, 2019",1.3124,1.3651,1.3096,1.3313,1.3313,"28,706,667"
"Nov 29, 2019",1.278,1.3432,1.2766,1.313,1.313,"32,270,224"
"Nov 28, 2019",1.2563,1.3541,1.2217,1.2797,1.2797,"44,240,281"
"Nov 27, 2019",1.2396,1.2739,1.1608,1.2564,1.2564,"47,723,271"
"Nov 26, 2019",1.2352,1.2831,1.2252,1.2448,1.2448,"54,828,808"
"Nov 25, 2019",1.3303,1.3303,1.2073,1.2352,1.2352,"64,954,006"
"Nov 24, 2019",1.3958,1.4229,1.307,1.3443,1.3443,"49,206,070"
"Nov 23, 2019",1.2188,1.4221,1.2188,1.3943,1.3943,"123,832,790"
"Nov 22, 2019",1.2118,1.2769,1.0788,1.2181,1.2181,"69,312,275"
"Nov 21, 2019",1.2122,1.2912,1.1837,1.2118,1.2118,"53,020,027"
"Nov 20, 2019",1.2194,1.2499,1.171,1.2132,1.2132,"33,605,071"
"Nov 19, 2019",1.2322,1.251,1.153,1.2194,1.2194,"35,796,763"
"Nov 18, 2019",1.1638,1.2632,1.1615,1.2322,1.2322,"37,602,915"
"Nov 17, 2019",1.1634,1.1832,1.1526,1.1625,1.1625,"22,483,167"
"Nov 16, 2019",1.1723,1.1828,1.156,1.1634,1.1634,"26,689,028"
"Nov 15, 2019",1.2221,1.2632,1.1452,1.1721,1.1721,"32,203,363"
"Nov 14, 2019",1.1315,1.2955,1.1052,1.2244,1.2244,"41,978,349"
"Nov 13, 2019",1.1681,1.1681,1.1208,1.1308,1.1308,"23,410,839"
"Nov 12, 2019",1.1766,1.197,1.1489,1.1689,1.1689,"23,591,140"
"Nov 11, 2019",1.228,1.2435,1.1709,1.1756,1.1756,"25,012,739"
"Nov 10, 2019",1.2464,1.25,1.1889,1.2304,1.2304,"31,134,799"
"Nov 09, 2019",1.1655,1.2559,1.152,1.2412,1.2412,"34,760,712"
"Nov 08, 2019",1.2171,1.2824,1.1233,1.1661,1.1661,"44,195,683"
"Nov 07, 2019",1.0192,1.4413,1.0192,1.2194,1.2194,"92,805,360"
"Nov 06, 2019",0.9275,1.0546,0.9024,1.0203,1.0203,"26,095,931"
"Nov 05, 2019",0.8918,0.9293,0.8778,0.9271,0.9271,"13,420,498"
"Nov 04, 2019",0.868,0.9071,0.8646,0.8918,0.8918,"16,511,023"
"Nov 03, 2019",0.8658,0.8742,0.8489,0.8689,0.8689,"11,444,717"
"Nov 02, 2019",0.8784,0.8863,0.8574,0.8655,0.8655,"9,944,483"
"Nov 01, 2019",0.8895,0.891,0.8635,0.8779,0.8779,"12,684,201"
"Oct 31, 2019",0.9141,0.9241,0.874,0.8905,0.8905,"13,120,625"
"Oct 30, 2019",0.8782,0.9694,0.7746,0.9141,0.9141,"23,084,998"
"Oct 29, 2019",0.872,0.9179,0.8255,0.8789,0.8789,"19,713,852"
"Oct 28, 2019",0.8797,0.9288,0.7683,0.8753,0.8753,"24,337,121"
"Oct 27, 2019",0.8364,0.8902,0.6886,0.8752,0.8752,"23,186,370"
"Oct 26, 2019",0.8338,0.926,0.8188,0.832,0.832,"20,293,463"
"Oct 25, 2019",0.7675,0.8428,0.7622,0.8348,0.8348,"16,862,309"
"Oct 24, 2019",0.7613,0.7804,0.754,0.7682,0.7682,"14,425,427"
"Oct 23, 2019",0.8389,0.8393,0.7551,0.7613,0.7613,"14,131,553"
"Oct 22, 2019",0.8708,0.8799,0.8332,0.8386,0.8386,"11,567,380"
"Oct 21, 2019",0.8773,0.8891,0.8668,0.8714,0.8714,"11,434,852"
"Oct 20, 2019",0.8655,0.8843,0.8619,0.8774,0.8774,"9,297,806"
"Oct 19, 2019",0.8795,0.8903,0.8618,0.8653,0.8653,"10,127,092"
"Oct 18, 2019",0.8958,0.8983,0.87,0.8778,0.8778,"10,666,948"
"Oct 17, 2019",0.8765,0.8997,0.873,0.8958,0.8958,"11,185,558"
"Oct 16, 2019",0.9097,0.913,0.8614,0.877,0.877,"12,766,002"
"Oct 15, 2019",0.9395,0.9612,0.9023,0.9074,0.9074,"17,300,340"
"Oct 14, 2019",0.9037,0.9427,0.8978,0.9413,0.9413,"16,242,661"
"Oct 13, 2019",0.8931,0.967,0.8863,0.9037,0.9037,"19,773,441"
"Oct 12, 2019",0.9112,0.9215,0.8504,0.8931,0.8931,"19,332,567"
"Oct 11, 2019",0.9137,0.9207,0.8857,0.9141,0.9141,"18,114,188"
"Oct 10, 2019",0.9428,0.9444,0.9132,0.915,0.915,"24,538,307"
"Oct 09, 2019",0.8997,0.9571,0.8949,0.9429,0.9429,"16,465,901"
"Oct 08, 2019",0.9062,0.9158,0.8951,0.8997,0.8997,"18,299,070"
