airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
6074,Codrington,Codrington Airport,17.635799,-61.828602,Antigua and Barbuda,BBQ,TAPH,15,-4,U,America/Antigua,airport
2874,Antigua,V.C. Bird International Airport,17.1367,-61.792702,Antigua and Barbuda,ANU,TAPA,62,-4,U,America/Antigua,airport
2490,Trelew,Almirante Marco Andres Zar Airport,-43.2105,-65.2703,Argentina,REL,SAVT,141,-3,N,America/Catamarca,airport
6029,San Antonio Oeste,Antoine De St Exupery Airport,-40.7512,-65.0343,Argentina,OES,SAVN,85,-3,N,America/Argentina/Salta,airport
2462,Rio Cuarto,Area De Material Airport,-33.08509827,-64.26129913,Argentina,RCU,SAOC,1380,-3,N,America/Cordoba,airport
2508,Mar Del Plata,Ástor Piazzola International Airport,-37.9342,-57.5733,Argentina,MDQ,SAZM,72,-3,N,America/Buenos_Aires,airport
2517,San Martin Des Andes,Aviador C. Campos Airport,-40.07540131,-71.13729858,Argentina,CPC,SAZY,2569,-3,N,America/Argentina/Salta,airport
2506,Bolivar,Bolivar Airport,-36.1866,-61.0764,Argentina,\N,SAZI,308,-3,N,America/Buenos_Aires,airport
2488,Esquel,Brigadier Antonio Parodi Airport,-42.90800095,-71.13950348,Argentina,EQS,SAVE,2621,-3,N,America/Catamarca,airport
2502,Colonel Suarez,Brigadier D.H.E. Ruiz Airport,-37.446098,-61.889301,Argentina,\N,SAZC,767,-3,N,America/Buenos_Aires,airport
2467,San Luis,Brigadier Mayor D Cesar Raul Ojeda Airport,-33.27320099,-66.35639954,Argentina,LUQ,SAOU,2328,-3,N,America/Argentina/San_Luis,airport
7230,Ingeniero Jacobacci,Cabo F.A.A. H. R. Bordón Airport,-41.32089996,-69.57489777,Argentina,IGB,SAVJ,2925,-3,N,America/Argentina/Salta,airport
2498,San Julian,Capitan D Daniel Vazquez Airport,-49.3068,-67.8026,Argentina,ULA,SAWJ,203,-3,N,America/Argentina/Rio_Gallegos,airport
2458,La Rioja,Capitan V A Almonacid Airport,-29.38159943,-66.79579926,Argentina,IRJ,SANL,1437,-3,N,America/Argentina/La_Rioja,airport
