lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Jiaqi Hou,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Ilknur Kocer,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Stefanie Leinhos,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Ansgar Lorenz,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Eva Müller,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Malika Teßmann,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Chiny Udeani,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Marijpol,,,individual,guest artist,,Nino Bulling,Comic Artists’ Union,,,
Katja Lonzeck – textile design,,,individual,guest artist,,Nino Bulling,Exhibition Hafen 76,,,
Marlene Oeken – scenography,,,individual,guest artist,,Nino Bulling,,,,
Chang En-Man,Taipei,Bootsverleih Ahoi,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/chang-en-man/>,,
Han Fang Wang,,,individual,guest artist,,Chang En-Man,,,,
Shueh Ching Lu,,,individual,guest artist,,Chang En-Man,,,,
Ting Tsou,,,individual,guest artist,,Chang En-Man,,,,
Cinema Caravan and Takashi Kuribayashi,Japan,Karslaue (karlswiesse),collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/cinema-caravan-and-takashi-kuribayashi/>,,
Akira Okura,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Danuraga Sastraining,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Eikou Haraguchi,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Eisuke Ogawa,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Gen Nagashima,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Kazuaki Komiya,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Keita Yamada,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Masaya Kobayashi,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Michinori Maru,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Mizuki Nishimura,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Naoito Ito,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Rai Shizuno,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Satoru Segi,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Solar Darmika,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Takashi Kuribayashi,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Tatsuya Sano,,,individual,guest artist,,Cinema Caravan and Takashi Kuribayashi,,,,
Baan Noorg Collaborative Arts and Culture,Thailand,na,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/baan-noorg-collaborative-arts-and-culture/>,,
Alfred Banze,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Awika Samukrsaman,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Chia Wei Hsu,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Christine Falk,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Dangchanok Pongdam,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Jiradej Meemalai,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Krittaporn Mahaweerarat,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Liam Morgan,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Pakchira Chartpanyawut,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Pornpilai Meemalai,,,individual,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Shih-Tung Lo,,,,guest artist,,Baan Noorg Collaborative Arts and Culture,,,,
Sada [regroup],Iraq,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/sada-regroup/>,,
Ali Eyal,,,individual,guest artist,,Sada [regroup],,,,
Sajjad Abbas,,,individual,guest artist,,Sada [regroup],,,,
Bassim Al Shaker,,,individual,guest artist,,Sada [regroup],,,,
Layth Kareem,,,individual,guest artist,,Sada [regroup],,,,
Sarah Munaf,,,individual,guest artist,,Sada [regroup],,,,
Raed Mutar,,,individual,guest artist,,Sada [regroup],,,,
Rijin Sahakian,,,individual,guest artist,,Sada [regroup],,,,
FAFSWAG,New Zealand,Hubner areal /Stadtsmuseum kassel / Hessisches Landesmuseum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/fafswag/>,,
Elyssia Wilson Heti,,,individual,guest artist,,FAFSWAG,,,,
Falencie Filipo,,,individual,guest artist,,FAFSWAG,,,,
