lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Julia Kopylova,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Norgard Kröger,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Judith Leijdekkers,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Silvio Lorusso,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Wad Maback,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Rana Matloub,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Teferi Mekonen,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Stefan Nadolny,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Sascha Nelle,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Ingo Nitsche,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Christian Reber,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Jens Redemann,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Rui Reis,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Palaver Rhababa,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Pris Roos,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Stefan Roser,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Coco Rufer,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Rosalío Ochoa Saavedra,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Rahila Sahebdel,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Flora Saß,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Merlind Sauerland,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Mayra Alejandra Schultheis,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Suchee Simonti,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Friederike Spieker,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Sophie Stein,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Meike Stricker,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Luca Marie Tüshaus,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Odinaka Uche-Okolo,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Ana Maria Vallejo,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Camilo Vega Vega,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Dalia Velandia,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Ana Vera,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Mariëlle verdijk,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Friedrich Carl von Uckro von Uckro,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Jan Wortmann,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Zemenu Tenagne Zeleke,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
"Carl-Schomburg-Schule, Kassel",,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Deborah Manavi – Partizipative Tanzforschung zum Common Ground,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Diakonisches Werk Region Kassel,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Divine Impact Church of God,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
"Essbare Stadt e.V.,",,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Ev. Hoffnungskirchengemeinde,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Familienbildungsstätte Sternschnuppe,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Goethegymnasium,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Institut Sozialwesen der Universität Kassel,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Islamisches Zentrum Kassel,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Jugendarbeit Wesertor der Stadt Kassel,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Kassel Kunsthochschule’s Performance and Multidisciplinary Class in collaboration with Class for Performance and Time Based Media from the Berlin University of the Arts,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Kita Sonnenhang,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Kulturzentrum Schlachthof gGmbH,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Nisa e.V.,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Stadtteilzentrum Wesertor,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Unterneustädter Grundschule,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
Walter-Lübcke-Schule,,,collective,guest artist,,ook_ [reinaart vanhoe,,,,
ikkibawiKrrr,Korea,Museum of Natural History Ottoneum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/ikkibawikrrr/>,,
Cho Jieun,,,individual,guest artist,,ikkibawiKrrr,,,,
Jungwon Kim,,,individual,guest artist,,ikkibawiKrrr,,,,
Gyeol Ko,,,individual,guest artist,,ikkibawiKrrr,,,,
Amol K Patil,India,Hubner areal,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/amol-k-patil/>,,
Aji S Dharan,,,individual,guest artist,,Amol K Patil,,,,
Ajith A S,,,individual,guest artist,,Amol K Patil,,,,
Das Rollschuhmagazin,,,individual,guest artist,,Amol K Patil,,,,
Kumar Misal,,,individual,guest artist,,Amol K Patil,,,,
Kundan Shanbhag,,,individual,guest artist,,Amol K Patil,,,,
Linojoe Raju,,,individual,guest artist,,Amol K Patil,,,,
Parul Sinha,,,individual,guest artist,,Amol K Patil,,,,
Poonam Jain,,,individual,guest artist,,Amol K Patil,,,,
Rohit Varekar,,,individual,guest artist,,Amol K Patil,,,,
Sachin Kondalkar,,,individual,guest artist,,Amol K Patil,,,,
Sachin Pitale,,,individual,guest artist,,Amol K Patil,,,,
Saviya Lopes,,,individual,guest artist,,Amol K Patil,,,,
Vinit Dharia,,,individual,guest artist,,Amol K Patil,,,,
"YALGAAR Sanskrutik Manch,",,,individual,guest artist,,Amol K Patil,,,,
Yogesh Barve,,,individual,guest artist,,Amol K Patil,,,,
Archives des luttes des femmes en Algérie,Algeria,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/archives-des-luttes-des-femmes-en-algerie/>,,
Awel Haouati,,,individual,guest artist,,Archives des luttes des femmes en Algérie,,,,
Lydia Saïdi,,,individual,guest artist,,Archives des luttes des femmes en Algérie,,,,
Saadia Gacem,,,individual,guest artist,,Archives des luttes des femmes en Algérie,,,,
La Intermundial Holobiente,Argentina,Karslaue (compost heap),collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/la-intermundial-holobiente/>,,
Noelia Billi,,,individual,guest artist,,La Intermundial Holobiente,,,,
Ingrid Bleynat,,,individual,guest artist,,La Intermundial Holobiente,,,,
Erica Bohm,,,individual,guest artist,,La Intermundial Holobiente,,,,
Virginia Buitrón,,,individual,guest artist,,La Intermundial Holobiente,,,,
Gabriela Cabezón Cámara,,,individual,guest artist,,La Intermundial Holobiente,,,,
Lucio Capece,,,individual,guest artist,,La Intermundial Holobiente,,,,
Graciela Carnevale,,,individual,guest artist,,La Intermundial Holobiente,,,,
Tulio De Sagastizábal,,,individual,guest artist,,La Intermundial Holobiente,,,,
Lucas Di Pascuale,,,individual,guest artist,,La Intermundial Holobiente,,,,
Paula Fleisner,,,individual,guest artist,,La Intermundial Holobiente,,,,
Claudia Fontes,,,individual,guest artist,,La Intermundial Holobiente,,,,
Carla Grunauer,,,individual,guest artist,,La Intermundial Holobiente,,,,
Gustavo Ibarra,,,individual,guest artist,,La Intermundial Holobiente,,,,
Reynaldo Jiménez,,,individual,guest artist,,La Intermundial Holobiente,,,,
Guadalupe Lucero,,,individual,guest artist,,La Intermundial Holobiente,,,,
Anahí Rayen Mariluán,,,individual,guest artist,,La Intermundial Holobiente,,,,
Pablo Martín Ruiz,,,individual,guest artist,,La Intermundial Holobiente,,,,
Pablo Méndez,,,individual,guest artist,,La Intermundial Holobiente,,,,
Isabel Mendoza,,,individual,guest artist,,La Intermundial Holobiente,,,,
Juan Mendoza,,,individual,guest artist,,La Intermundial Holobiente,,,,
Karina Mendoza,,,individual,guest artist,,La Intermundial Holobiente,,,,
Guadalupe Miles,,,individual,guest artist,,La Intermundial Holobiente,,,,
Leticia Obeid,,,individual,guest artist,,La Intermundial Holobiente,,,,
Sergio Raimondi,,,individual,guest artist,,La Intermundial Holobiente,,,,
Sol Rébora,,,individual,guest artist,,La Intermundial Holobiente,,,,
Luis Sagasti,,,individual,guest artist,,La Intermundial Holobiente,,,,
Hector (Chino) Soria,,,individual,guest artist,,La Intermundial Holobiente,,,,
The ten thousand things,,,collective,guest artist,,La Intermundial Holobiente,,,,
Ral Veroni,,,individual,guest artist,,La Intermundial Holobiente,,,,
Susana Villalba,,,individual,guest artist,,La Intermundial Holobiente,,,,
Weavers of the Tewok Cultural Centre,,,collective,guest artist,,La Intermundial Holobiente,,,,
Abdul Dube,South Africa,na,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/abdul-dube/>,,
Sa Sa Art Projects,Cambodia,Hubner areal / Sandershaus/Haferkakaofabrik,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/sa-sa-art-projects/>,,
Ang Choulean,,,individual,guest artist,,Sa Sa Art Projects,,,,
Chanveasna Chum,,,individual,guest artist,,Sa Sa Art Projects,,,,
Mit Jai Inn,,,individual,guest artist,,Sa Sa Art Projects,,,,
Samnang Khvay,,,individual,guest artist,,Sa Sa Art Projects,,,,
Aung Ko,,,individual,guest artist,,Sa Sa Art Projects,,,,
Dara Kong,,,individual,guest artist,,Sa Sa Art Projects,,,,
Siden Kong,,,individual,guest artist,,Sa Sa Art Projects,,,,
Lyna Kourn,,,individual,guest artist,,Sa Sa Art Projects,,,,
Nge Lay,,,individual,guest artist,,Sa Sa Art Projects,,,,
Sokchanlina Lim,,,individual,guest artist,,Sa Sa Art Projects,,,,
Vuth Lyno,,,individual,guest artist,,Sa Sa Art Projects,,,,
Ngoc Nau,,,individual,guest artist,,Sa Sa Art Projects,,,,
Carsten Nicolai,,,individual,guest artist,,Sa Sa Art Projects,,,,
Sopheap Pich,,,individual,guest artist,,Sa Sa Art Projects,,,,
Samnang Sam,,,individual,guest artist,,Sa Sa Art Projects,,,,
Khvay Samnang,,,individual,guest artist,,Sa Sa Art Projects,,,,
Pinaree Sanpitak,,,individual,guest artist,,Sa Sa Art Projects,,,,
Leang Seckon,,,individual,guest artist,,Sa Sa Art Projects,,,,
Jakkai Siributr,,,individual,guest artist,,Sa Sa Art Projects,,,,
Thida Sok,,,individual,guest artist,,Sa Sa Art Projects,,,,
Lim Sokchanlina,,,individual,guest artist,,Sa Sa Art Projects,,,,
Sutthirat Supaparinya,,,individual,guest artist,,Sa Sa Art Projects,,,,
Zen The,,,individual,guest artist,,Sa Sa Art Projects,,,,
Ashley Thompson,,,individual,guest artist,,Sa Sa Art Projects,,,,
Lyno Vuth,,,individual,guest artist,,Sa Sa Art Projects,,,,
Sophia Young,,,individual,guest artist,,Sa Sa Art Projects,,,,
Cem A.,Turkey,na,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/cem-a/>,,
Jatiwangi art Factory,Indonesia,Hubner areal,,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/jatiwangi-art-factory/>,,
ADANYAH,,,individual,guest artist,,Jatiwangi art Factory,,,,
Andzar Agung Fauzan,,,individual,guest artist,,Jatiwangi art Factory,,,,
Aldizar Ahmad Ghifhary,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ketut Aminudin,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ariswandi,,,individual,guest artist,,Jatiwangi art Factory,,,,
Bening,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ming Chow,,,individual,guest artist,,Jatiwangi art Factory,,,,
Tarsono D. Mardiana,,,individual,guest artist,,Jatiwangi art Factory,,,,
Darto,,,individual,guest artist,,Jatiwangi art Factory,,,,
Fani,,,individual,guest artist,,Jatiwangi art Factory,,,,
Getot,,,individual,guest artist,,Jatiwangi art Factory,,,,
Muhammad Ilham Samudra,,,individual,guest artist,,Jatiwangi art Factory,,,,
Deden Imanudin,,,individual,guest artist,,Jatiwangi art Factory,,,,
Karissya,,,individual,guest artist,,Jatiwangi art Factory,,,,
Eman Kurdiman,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ana Merliana,,,individual,guest artist,,Jatiwangi art Factory,,,,
Karissya,,,individual,guest artist,,Jatiwangi art Factory,,,,
Mayor Staff,,,individual,guest artist,,Jatiwangi art Factory,,,,
Pipin Muhammad Kaspin,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ismal Muntaha,,,individual,guest artist,,Jatiwangi art Factory,,,,
Tatita Na Sae,,,individual,guest artist,,Jatiwangi art Factory,,,,
Inin Nastain,,,individual,guest artist,,Jatiwangi art Factory,,,,
Tamyiz Noor Ramadhan,,,individual,guest artist,,Jatiwangi art Factory,,,,
Alma Noxa,,,individual,guest artist,,Jatiwangi art Factory,,,,
Alfiza Nur Aisyah Irmanda,,,individual,guest artist,,Jatiwangi art Factory,,,,
Elgea Nur Balzarie,,,individual,guest artist,,Jatiwangi art Factory,,,,
Tedi Nurmanto,,,individual,guest artist,,Jatiwangi art Factory,,,,
Gilang Pramuditha,,,individual,guest artist,,Jatiwangi art Factory,,,,
Pandu Rahadian,,,individual,guest artist,,Jatiwangi art Factory,,,,
Kiki Rasmadi,,,individual,guest artist,,Jatiwangi art Factory,,,,
Rifayanti,,,individual,guest artist,,Jatiwangi art Factory,,,,
Deden Sambas,,,individual,guest artist,,Jatiwangi art Factory,,,,
Prabowo Setyadi,,,individual,guest artist,,Jatiwangi art Factory,,,,
Yuliati Shalihat,,,individual,guest artist,,Jatiwangi art Factory,,,,
Bunga Siagian,,,individual,guest artist,,Jatiwangi art Factory,,,,
Karna Sobahi,,,individual,guest artist,,Jatiwangi art Factory,,,,
Subita,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ahmad Sujai,,,individual,guest artist,,Jatiwangi art Factory,,,,
Pepep Syaiful Hidayat,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ginggi Syarief Hasyim,,,individual,guest artist,,Jatiwangi art Factory,,,,
Arie Syariefudin,,,individual,guest artist,,Jatiwangi art Factory,,,,
Illa Syukrila,,,individual,guest artist,,Jatiwangi art Factory,,,,
Loranita Theo,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ahmad Thian Fultan,,,individual,guest artist,,Jatiwangi art Factory,,,,
Arief Yudi Rahman,,,individual,guest artist,,Jatiwangi art Factory,,,,
Ika Yuliana,,,individual,guest artist,,Jatiwangi art Factory,,,,
Wakaliga Uganda,Uganda,documenta Halle,collective (studio),invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/wakaliga-uganda/>,,
Assimwe Apollo,,,individual,guest artist,,Wakaliga Uganda,,,,
Bisaso Dauda,,,individual,guest artist,,Wakaliga Uganda,,,,
Coconote studio,,,individual,guest artist,,Wakaliga Uganda,,,,
Harriet Nakasujja,,,individual,guest artist,,Wakaliga Uganda,,,,
Isaac Godfrey Geoffrey Nabwana,,,individual,guest artist,,Wakaliga Uganda,,,,
Kasekende Mustafa,,,individual,guest artist,,Wakaliga Uganda,,,,
Katunda Abdul Wahab,,,individual,guest artist,,Wakaliga Uganda,,,,
Kazibwe Ronald,,,individual,guest artist,,Wakaliga Uganda,,,,
Kizito Isaac Newton,,,individual,guest artist,,Wakaliga Uganda,,,,
Lyagoba Suudi,,,individual,guest artist,,Wakaliga Uganda,,,,
Max Winckler,,,individual,guest artist,,Wakaliga Uganda,,,,
Mbulaiteri,,,individual,guest artist,,Wakaliga Uganda,,,,
Nashibah Nakibuuka,,,individual,guest artist,,Wakaliga Uganda,,,,
Nattembo Racheal Monica,,,individual,guest artist,,Wakaliga Uganda,,,,
Nsamba Francis,,,individual,guest artist,,Wakaliga Uganda,,,,
Ssebagenyi Ronald,,,individual,guest artist,,Wakaliga Uganda,,,,
Ssempala Sulaiman,,,individual,guest artist,,Wakaliga Uganda,,,,
Wakastarz Band,,,individual,guest artist,,Wakaliga Uganda,,,,
Another Roadmap Africa Cluster (ARAC),Uganda,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/another-roadmap-africa-cluster-arac/>,,
Andrea THAL,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Cairo Working Group,,,
Rana ELNEMR,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Cairo Working Group,,,
David ANDREW,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Johannesburg Working Group,,,
Puleng PLESSIE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Johannesburg Working Group,,,
Rangoato HLASANE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Johannesburg Working Group,,,
Tumi MOGOROSI,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Johannesburg Working Group,,,
Emma WOLUKAU-WANAMBWA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Kampala Working Group,,,
Kitto Derrick WINTERGREEN,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Kampala Working Group,,,
Cédrick NZOLO,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Kampala Working Group,,,
Jean KAMBA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Kinshasa Working Group,,,
Abiodun AKANDA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lagos Working Group,,,
Ayo ADEWUNMI,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lagos Working Group,,,
Olutayo AJE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lagos Working Group,,,
Peju LAYIWOLA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lagos Working Group,,,
Quadri OLUWASEGUN,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lagos Working Group,,,
Chadrack KAKULE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Christelle NTANGA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Patrick MUDEKEREZA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Prodige MAKONGA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Rita MUKEBO,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Sari MIDDERNACHT,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Stéphane KABILA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Véronique POVORELLO KASONGO,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Lubumbashi Working Group,,,
Lineo SEGOETE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Maseru Working Group,,,
Zachary ROSEN,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Maseru Working Group,,,
Nyanza Working Group,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Maseru Working Group,,,
Christian NYAMPETA,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Maseru Working Group,,,
Christa UWASE,,,individual,guest artist,,Another Roadmap Africa Cluster (ARAC),Maseru Working Group,,,
Fondation Festival sur le Niger,Niger,Hubner areal,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/fondation-festival-sur-le-niger/>,,
Abdoulaye Camara,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Abdoulaye Konaté,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Adama Keïta,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Amaichata Salamata,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Attaher Maiga,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Awa Diarra,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Bourama Diarra,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Bréhima Coulibaly,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Cheick Amadou Tidiane Seck,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Cheick Oumar Sissoko,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Djoulaye Samuel Coulibaly,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Elisée Sangare,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Fatoumata Tioye Coulibaly,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Gaoussou Diao,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Ibrahima Wane,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Kalifa Dembélé,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
LAMINE Diarra,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Lassina Koné,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Losso Marie Ange Dakouo,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Madou Tounkara,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Mahamadou Drame,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Mama Koné,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Mamou Daffé,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Mariam Koné,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Mohamed Doumbia,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Moise Sagara,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Moussa Boubacar Diarra,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
N’Dji Yacouba Traoré,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
N’Fana Diakite,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Salia Malé,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Salif Berthé,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Salomé Dembélé,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Samba Touré,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Seydou Camara,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Souleymane Ouologuem,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Tieble Traoré,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Yacouba Magassouba,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Yaya Coulibaly,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Zakaria Konaté,,,individual,guest artist,,Fondation Festival sur le Niger,,,,
Putra Hidayatullah,Indonesia,na,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/putra-hidayatullah/>,,
Sourabh Phadke,na,Fridericianum / Nordstatspark / Hiroshima-Ufer (Karslaue),individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/sourabh-phadke/>,,
*foundationClass*collective,,,collective,guest artist,,Sourabh Phadke,,,,
Jumana Emil Abboud,,,individual,guest artist,,Sourabh Phadke,,,,
Eugene Andre,,,individual,guest artist,,Sourabh Phadke,,,,
Peter Anhalt,,,individual,guest artist,,Sourabh Phadke,,,,
Lydia Antoniou,,,individual,guest artist,,Sourabh Phadke,,,,
Marwa Arsanios,,,individual,guest artist,,Sourabh Phadke,,,,
Elke Charlotte Avenarius,,,individual,guest artist,,Sourabh Phadke,,,,
Karin Boenninger,,,individual,guest artist,,Sourabh Phadke,,,,
Natascha Burk,,,individual,guest artist,,Sourabh Phadke,,,,
Chenfeizi Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Guanting Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Qiaohui Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Xinyu Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Yige Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Zijin Chen,,,individual,guest artist,,Sourabh Phadke,,,,
Yasmine Eid-Sabbagh,,,individual,guest artist,,Sourabh Phadke,,,,
Gozde Filinta,,,individual,guest artist,,Sourabh Phadke,,,,
Martin Fokken,,,individual,guest artist,,Sourabh Phadke,,,,
Issa Freij,,,individual,guest artist,,Sourabh Phadke,,,,
Jakob Gebert,,,individual,guest artist,,Sourabh Phadke,,,,
Leah Gordon,,,individual,guest artist,,Sourabh Phadke,,,,
Iswanto Hartono,,,individual,guest artist,,Sourabh Phadke,,,,
Jonas Hohmann,,,individual,guest artist,,Sourabh Phadke,,,,
Zhenwu Hu,,,individual,guest artist,,Sourabh Phadke,,,,
Fangqiang Huang,,,individual,guest artist,,Sourabh Phadke,,,,
Yanyijia Huang,,,individual,guest artist,,Sourabh Phadke,,,,
Anne Jacobi,,,individual,guest artist,,Sourabh Phadke,,,,
Lara Khaldi,,,individual,guest artist,,Sourabh Phadke,,,,
Elvyn Kompi,,,individual,guest artist,,Sourabh Phadke,,,,
Yifan Li,,,individual,guest artist,,Sourabh Phadke,,,,
David Loesche,,,individual,guest artist,,Sourabh Phadke,,,,
Baldwin Maslim,,,individual,guest artist,,Sourabh Phadke,,,,
Valerie Meyer,,,individual,guest artist,,Sourabh Phadke,,,,
Dina Mimi,,,individual,guest artist,,Sourabh Phadke,,,,
Daniella Fitria Praptono,,,individual,guest artist,,Sourabh Phadke,,,,
Malene Saalmann,,,individual,guest artist,,Sourabh Phadke,,,,
Teguh Safarizal,,,individual,guest artist,,Sourabh Phadke,,,,
Melissa Schmidt,,,individual,guest artist,,Sourabh Phadke,,,,
Christine Seefried,,,individual,guest artist,,Sourabh Phadke,,,,
Ziyuan Shao,,,individual,guest artist,,Sourabh Phadke,,,,
Viola Sommerfeld,,,individual,guest artist,,Sourabh Phadke,,,,
Michael Weber,,,individual,guest artist,,Sourabh Phadke,,,,
David Zabel,,,individual,guest artist,,Sourabh Phadke,,,,
Nhà Sàn Collective,Vietnam,Stadtsmuseum Kassel / Walter Lubte Brucke / WH22,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/nha-san-collective/>,,
Ayesha Keshani,,,individual,guest artist,,Nhà Sàn Collective,,,,
Bill Nguyễn,,,individual,guest artist,,Nhà Sàn Collective,,,,
Đặng Thuỳ Anh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Đạt Vũ,,,individual,guest artist,,Nhà Sàn Collective,,,,
Đinh Nhung (Vagina Talks / A Queer Museum),,,individual,guest artist,,Nhà Sàn Collective,,,,
Đinh Thảo Linh (ba-bau AIR),,,individual,guest artist,,Nhà Sàn Collective,,,,
Đỗ Văn Hoàng,,,individual,guest artist,,Nhà Sàn Collective,,,,
Dương Thanh Quang,,,individual,guest artist,,Nhà Sàn Collective,,,,
Flinh,,,individual,guest artist,,Nhà Sàn Collective,,,,
Helen Pritchard,,,individual,guest artist,,Nhà Sàn Collective,,,,
La Mai,,,individual,guest artist,,Nhà Sàn Collective,,,,
Lại Diệu Hà,,,individual,guest artist,,Nhà Sàn Collective,,,,
Laura Burns,,,individual,guest artist,,Nhà Sàn Collective,,,,
Lê Đình Chung,,,individual,guest artist,,Nhà Sàn Collective,,,,
Lê Thị Lương,,,individual,guest artist,,Nhà Sàn Collective,,,,
Lem Trag Nguyen,,,individual,guest artist,,Nhà Sàn Collective,,,,
